time	V(2)	V(d1)	V(d2)
2.914441201097842e-003	1.388311e-006	2.969982e-004	-3.474679e+001
2.915581990950767e-003	1.388649e-006	2.967492e-004	-2.083681e-001
2.917863570656617e-003	1.389325e-006	2.962627e-004	-2.207208e-001
2.931553048891715e-003	1.393358e-006	2.945659e-004	-1.292068e-001
2.949805686538513e-003	1.398783e-006	2.956795e-004	-3.161653e-003
2.986310961832110e-003	1.410722e-006	3.129040e-004	2.985104e-001
3.059321512419302e-003	1.437481e-006	4.125320e-004	1.186774e+002
3.059606709882533e-003	1.437599e-006	4.242334e-004	1.192219e+002
3.060177104808996e-003	1.437855e-006	4.476654e-004	8.023445e+001
3.061317894661921e-003	1.438370e-006	4.501728e-004	2.062011e+000
3.063599474367771e-003	1.439416e-006	4.555765e-004	2.351191e+000
3.077288952602869e-003	1.446164e-006	4.906976e-004	2.554616e+000
3.095541590249667e-003	1.456628e-006	5.444653e-004	2.817051e+000
3.132046865543263e-003	1.483858e-006	6.740242e-004	3.311751e+000
3.205057416130456e-003	1.551143e-006	1.084763e-003	3.968795e+002
3.205342613593687e-003	1.551453e-006	1.123812e-003	3.982915e+002
3.205913008520149e-003	1.552138e-006	1.201825e-003	8.942171e+001
3.206055607251765e-003	1.552309e-006	1.202991e-003	1.226706e+001
3.206340804714996e-003	1.552653e-006	1.204992e-003	9.642530e+000
3.206911199641459e-003	1.553343e-006	1.207833e-003	4.684527e+000
3.208051989494384e-003	1.554731e-006	1.213863e-003	5.280594e+000
3.224023047435332e-003	1.575405e-006	1.300525e-003	5.437634e+000
3.242275685082130e-003	1.602009e-006	1.404386e-003	5.607682e+000
3.278780960375726e-003	1.665553e-006	1.625700e-003	5.917613e+000
3.351791510962919e-003	1.838101e-006	2.109483e-003	6.416822e+000
3.497812612137304e-003	2.371776e-006	3.135980e-003	6.932690e+000
3.789854814486075e-003	3.791551e-006	5.874061e-003	4.698765e+003
3.789997413217690e-003	3.792388e-006	6.098347e-003	4.700470e+003
3.790282610680922e-003	3.794255e-006	6.545932e-003	3.134342e+003
3.790853005607384e-003	3.797992e-006	6.548793e-003	4.723445e+000
3.791993795460309e-003	3.805473e-006	6.554836e-003	5.303417e+000
3.802097934157644e-003	3.872311e-006	6.607524e-003	5.200206e+000
3.812202072854978e-003	3.939884e-006	6.658237e-003	5.093915e+000
3.822306211552313e-003	4.008190e-006	6.706975e-003	4.984546e+000
3.832410350249648e-003	4.077231e-006	6.753739e-003	4.872097e+000
3.842514488946982e-003	4.147006e-006	6.798528e-003	4.756568e+000
3.852618627644317e-003	4.217516e-006	6.841341e-003	4.637961e+000
3.862722766341652e-003	4.288759e-006	6.882180e-003	4.516273e+000
3.936018514392075e-003	4.810172e-006	7.262600e-003	2.788818e+002
3.936588909318538e-003	4.814346e-006	7.316251e-003	1.861346e+002
3.937729699171462e-003	4.822696e-006	7.318800e-003	2.109312e+000
3.940011278877312e-003	4.839413e-006	7.324103e-003	2.341485e+000
3.971953394759209e-003	5.075110e-006	7.384038e-003	1.841692e+000
4.008601268784421e-003	5.347248e-006	7.449619e-003	8.662671e+001
4.008886466247652e-003	5.349375e-006	7.457900e-003	5.767514e+001
4.009456861174114e-003	5.353629e-006	7.458148e-003	4.136179e-001
4.010597651027039e-003	5.362138e-006	7.458644e-003	4.455629e-001
4.017442390144589e-003	5.413206e-006	7.460762e-003	3.165575e-001
4.026568708967988e-003	5.481297e-006	7.461337e-003	1.470211e-001
4.044821346614786e-003	5.617268e-006	7.455020e-003	-1.835809e-001
4.081469220639998e-003	5.889693e-006	7.410839e-003	-9.390817e+001
4.082324813029691e-003	5.896025e-006	7.400796e-003	-1.410259e+000
4.083465602882616e-003	5.904465e-006	7.398957e-003	-1.603360e+000
4.099436660823565e-003	6.022195e-006	7.369595e-003	-1.856815e+000
4.117689298470363e-003	6.155536e-006	7.328114e-003	-2.135889e+000
4.154194573763959e-003	6.416958e-006	7.221847e-003	-2.660158e+000
4.227205124351151e-003	6.928866e-006	6.869569e-003	-3.468826e+002
4.227490321814383e-003	6.930825e-006	6.835438e-003	-3.481404e+002
4.228203315472461e-003	6.935650e-006	6.766146e-003	-1.098168e+001
4.228488512935692e-003	6.937579e-006	6.764355e-003	-8.632752e+000
4.229058907862154e-003	6.941435e-006	6.761811e-003	-4.195297e+000
4.230199697715079e-003	6.949140e-006	6.756407e-003	-4.730611e+000
4.250733915067727e-003	7.086352e-006	6.654208e-003	-4.938172e+000
4.271268132420375e-003	7.219334e-006	6.547103e-003	-5.131443e+000
4.291802349773023e-003	7.348087e-006	6.435091e-003	-5.310424e+000
4.312336567125670e-003	7.472611e-006	6.318172e-003	-5.475114e+000
4.332870784478318e-003	7.592905e-006	6.196348e-003	-5.625514e+000
4.353405001830966e-003	7.708970e-006	6.069617e-003	-5.761624e+000
4.373939219183614e-003	7.820805e-006	5.937980e-003	-5.883443e+000
4.519960320358000e-003	8.483890e-006	5.005759e-003	-6.337666e+000
4.812002522706770e-003	9.497009e-006	2.589596e-003	-4.047701e+003
4.812145121438386e-003	9.497378e-006	2.396399e-003	-4.049077e+003
4.812430318901617e-003	9.497951e-006	2.010954e-003	-2.699691e+003
4.813000713828080e-003	9.499096e-006	2.008818e-003	-3.527543e+000
4.814141503681004e-003	9.501380e-006	2.004313e-003	-3.955848e+000
4.830112561621953e-003	9.532501e-006	1.944082e-003	-3.757375e+000
4.848365199268751e-003	9.566322e-006	1.882051e-003	-3.519970e+000
4.885013073293963e-003	9.631794e-006	1.722173e-003	-2.442800e+002
4.885298270757194e-003	9.632279e-006	1.698615e-003	-1.632015e+002
4.885868665683656e-003	9.633247e-006	1.697329e-003	-2.126436e+000
4.887009455536581e-003	9.635178e-006	1.694627e-003	-2.376667e+000
4.902980513477530e-003	9.661737e-006	1.660285e-003	-2.133143e+000
4.921233151124328e-003	9.691234e-006	1.629311e-003	-1.844251e+000
4.957881025149540e-003	9.749413e-006	1.563565e-003	-8.691101e+001
4.958166222612771e-003	9.749857e-006	1.555254e-003	-5.787309e+001
4.958736617539233e-003	9.750744e-006	1.554994e-003	-4.330064e-001
4.959877407392158e-003	9.752517e-006	1.554471e-003	-4.686219e-001
4.966722146509708e-003	9.763140e-006	1.552150e-003	-3.460061e-001
4.975848465333107e-003	9.777299e-006	1.551271e-003	-1.800501e-001
